,Neighbourhood Cleansed,Bedrooms,Beds,Price,Number of Reviews,Review Scores Rating,classes of rating,class of price,predictors
124,Upper West Side,1,1,95,8,100,High,Bad,"[('n03388549', 'four-poster', 0.7628557), ('n04344873', 'studio_couch', 0.17148244), ('n04033995', 'quilt', 0.050375275), ('n04590129', 'window_shade', 0.004338152), ('n04239074', 'sliding_door', 0.0021399294), ('n03018349', 'china_cabinet', 0.001786749), ('n03788365', 'mosquito_net', 0.0013671237), ('n02870880', 'bookcase', 0.0013021755), ('n04550184', 'wardrobe', 0.00044561885), ('n03201208', 'dining_table', 0.00037371338)]"
126,Upper West Side,3,3,160,3,100,High,Good,"[('n03388549', 'four-poster', 0.86559576), ('n03125729', 'cradle', 0.05236195), ('n04344873', 'studio_couch', 0.046721112), ('n04429376', 'throne', 0.0055897827), ('n03788365', 'mosquito_net', 0.005074903), ('n03201208', 'dining_table', 0.0033193622), ('n04033995', 'quilt', 0.0032896476), ('n02699494', 'altar', 0.002850911), ('n04099969', 'rocking_chair', 0.0019213432), ('n02791124', 'barber_chair', 0.0014066744)]"
149,Midtown,1,1,265,1,100,High,Good,"[('n03388549', 'four-poster', 0.78461003), ('n04344873', 'studio_couch', 0.057936803), ('n03529860', 'home_theater', 0.03381226), ('n04590129', 'window_shade', 0.028422287), ('n04550184', 'wardrobe', 0.014998849), ('n04239074', 'sliding_door', 0.013757878), ('n02870880', 'bookcase', 0.012348664), ('n04201297', 'shoji', 0.008363408), ('n03788365', 'mosquito_net', 0.0067489794), ('n03290653', 'entertainment_center', 0.00651351)]"
171,Nolita,2,2,275,45,96,High,Good,"[('n03388549', 'four-poster', 0.5506123), ('n03938244', 'pillow', 0.19719659), ('n04033995', 'quilt', 0.057324026), ('n03788365', 'mosquito_net', 0.033614866), ('n03201208', 'dining_table', 0.019357795), ('n04201297', 'shoji', 0.014926453), ('n04344873', 'studio_couch', 0.01057118), ('n04522168', 'vase', 0.0097481), ('n04239074', 'sliding_door', 0.008924101), ('n04507155', 'umbrella', 0.008272292)]"
185,SoHo,2,3,899,16,100,High,Good,"[('n03388549', 'four-poster', 0.74467254), ('n04344873', 'studio_couch', 0.17914443), ('n04239074', 'sliding_door', 0.024294926), ('n03899768', 'patio', 0.010784387), ('n04515003', 'upright', 0.0049143345), ('n04550184', 'wardrobe', 0.004286081), ('n04590129', 'window_shade', 0.0037744462), ('n04493381', 'tub', 0.003408098), ('n03788365', 'mosquito_net', 0.0033246153), ('n03796401', 'moving_van', 0.0022361446)]"
209,Inwood,1,1,40,2,100,High,Bad,"[('n04033995', 'quilt', 0.99821126), ('n04344873', 'studio_couch', 0.0013041366), ('n03388549', 'four-poster', 0.000347395), ('n03788365', 'mosquito_net', 1.2369521e-05), ('n03938244', 'pillow', 1.0512544e-05), ('n04522168', 'vase', 9.604065e-06), ('n03014705', 'chest', 8.555232e-06), ('n04380533', 'table_lamp', 8.390039e-06), ('n04550184', 'wardrobe', 7.214265e-06), ('n04525038', 'velvet', 6.672754e-06)]"
217,Midtown,1,2,75,2,100,High,Bad,"[('n03388549', 'four-poster', 0.94907564), ('n04344873', 'studio_couch', 0.024013136), ('n04033995', 'quilt', 0.0080293985), ('n03788365', 'mosquito_net', 0.006804565), ('n04493381', 'tub', 0.0019442971), ('n04590129', 'window_shade', 0.0016107418), ('n02808440', 'bathtub', 0.00087293336), ('n02870880', 'bookcase', 0.00073898677), ('n04081281', 'restaurant', 0.00064128556), ('n04525038', 'velvet', 0.00057607313)]"
219,Midtown,1,1,80,6,97,High,Bad,"[('n04033995', 'quilt', 0.9734157), ('n04344873', 'studio_couch', 0.025000656), ('n03388549', 'four-poster', 0.0006128115), ('n03938244', 'pillow', 0.00043927593), ('n03788365', 'mosquito_net', 8.8049856e-05), ('n04239074', 'sliding_door', 5.3342636e-05), ('n04235860', 'sleeping_bag', 3.3414093e-05), ('n04550184', 'wardrobe', 3.1043885e-05), ('n03584829', 'iron', 3.0671385e-05), ('n03131574', 'crib', 2.7859953e-05)]"
224,Midtown,2,4,175,0,92.34,Low,Good,"[('n03388549', 'four-poster', 0.5983649), ('n04344873', 'studio_couch', 0.09661882), ('n04033995', 'quilt', 0.05209243), ('n04550184', 'wardrobe', 0.050632436), ('n04590129', 'window_shade', 0.015997436), ('n04005630', 'prison', 0.011806997), ('n03788365', 'mosquito_net', 0.009795268), ('n02790996', 'barbell', 0.009468564), ('n04239074', 'sliding_door', 0.0093642855), ('n03450230', 'gown', 0.005156609)]"
227,Midtown,1,1,90,22,93,High,Bad,"[('n03388549', 'four-poster', 0.6673863), ('n04033995', 'quilt', 0.21918543), ('n04344873', 'studio_couch', 0.068227366), ('n03788365', 'mosquito_net', 0.0101368865), ('n04590129', 'window_shade', 0.0100458935), ('n04239074', 'sliding_door', 0.009432493), ('n04550184', 'wardrobe', 0.0044842274), ('n04201297', 'shoji', 0.0020083874), ('n03529860', 'home_theater', 0.001068423), ('n03131574', 'crib', 0.00089479337)]"
240,Lower East Side,1,3,95,50,98,High,Bad,"[('n03388549', 'four-poster', 0.72707576), ('n04404412', 'television', 0.06114577), ('n04344873', 'studio_couch', 0.045469802), ('n03982430', 'pool_table', 0.038300224), ('n03179701', 'desk', 0.0095456885), ('n03131574', 'crib', 0.008718104), ('n04380533', 'table_lamp', 0.008026954), ('n04239074', 'sliding_door', 0.007470037), ('n04515003', 'upright', 0.006653988), ('n03290653', 'entertainment_center', 0.0062918537)]"
