,Neighbourhood Cleansed,Bedrooms,Beds,Price,Number of Reviews,Review Scores Rating,classes of rating,class of price,predictors
1516,Hell's Kitchen,1,1,300,0,92.5,Low,Good,"[('n04033995', 'quilt', 0.7979833), ('n03388549', 'four-poster', 0.1040616), ('n04344873', 'studio_couch', 0.075422496), ('n04590129', 'window_shade', 0.0076143946), ('n04201297', 'shoji', 0.0072067375), ('n04239074', 'sliding_door', 0.00097091025), ('n03529860', 'home_theater', 0.0009472639), ('n03788365', 'mosquito_net', 0.00066007697), ('n04550184', 'wardrobe', 0.0005086485), ('n03201208', 'dining_table', 0.0004777076)]"
1522,Kips Bay,0,1,190,0,92.37,Low,Good,"[('n04033995', 'quilt', 0.79676706), ('n04344873', 'studio_couch', 0.17754556), ('n03131574', 'crib', 0.004670512), ('n03938244', 'pillow', 0.0039511155), ('n04550184', 'wardrobe', 0.0017600384), ('n03529860', 'home_theater', 0.0016035252), ('n03788365', 'mosquito_net', 0.0010701083), ('n03388549', 'four-poster', 0.0010435882), ('n03201208', 'dining_table', 0.00093374075), ('n04235860', 'sleeping_bag', 0.0008548319)]"
1567,Lower East Side,1,1,89,4,60,Low,Bad,"[('n03388549', 'four-poster', 0.72165054), ('n04239074', 'sliding_door', 0.14624117), ('n04344873', 'studio_couch', 0.04809914), ('n04201297', 'shoji', 0.012595522), ('n03131574', 'crib', 0.010928432), ('n03018349', 'china_cabinet', 0.007442131), ('n03899768', 'patio', 0.0049980837), ('n02788148', 'bannister', 0.0042076283), ('n04550184', 'wardrobe', 0.003957333), ('n03788365', 'mosquito_net', 0.0036781577)]"
1570,Lower East Side,3,3,80,6,96,High,Bad,"[('n03388549', 'four-poster', 0.7992595), ('n04344873', 'studio_couch', 0.09430884), ('n04033995', 'quilt', 0.02578661), ('n04239074', 'sliding_door', 0.021403147), ('n04550184', 'wardrobe', 0.011710064), ('n03788365', 'mosquito_net', 0.008372486), ('n04493381', 'tub', 0.0043274835), ('n04040759', 'radiator', 0.003193675), ('n04201297', 'shoji', 0.0024650793), ('n04099969', 'rocking_chair', 0.0022590288)]"
1574,Lower East Side,1,1,58,0,92.3,Low,Bad,"[('n03388549', 'four-poster', 0.73751616), ('n03788365', 'mosquito_net', 0.07541721), ('n04239074', 'sliding_door', 0.050846796), ('n04344873', 'studio_couch', 0.04431013), ('n04590129', 'window_shade', 0.03287434), ('n03529860', 'home_theater', 0.014581389), ('n04033995', 'quilt', 0.008214117), ('n04550184', 'wardrobe', 0.007655494), ('n04209239', 'shower_curtain', 0.0047141938), ('n02098286', 'West_Highland_white_terrier', 0.0011000523)]"
1593,Hell's Kitchen,1,1,49,191,82,Low,Bad,"[('n03388549', 'four-poster', 0.55765307), ('n04550184', 'wardrobe', 0.09821332), ('n04344873', 'studio_couch', 0.07222636), ('n03788365', 'mosquito_net', 0.054708693), ('n02870880', 'bookcase', 0.0424424), ('n03131574', 'crib', 0.02485136), ('n04033995', 'quilt', 0.01917078), ('n04590129', 'window_shade', 0.01588795), ('n03290653', 'entertainment_center', 0.011025726), ('n04493381', 'tub', 0.009714943)]"
1596,Hell's Kitchen,1,1,150,17,100,High,Good,"[('n03388549', 'four-poster', 0.5755146), ('n04033995', 'quilt', 0.15587391), ('n04344873', 'studio_couch', 0.09182049), ('n04550184', 'wardrobe', 0.06686118), ('n04590129', 'window_shade', 0.030187206), ('n03788365', 'mosquito_net', 0.021362273), ('n04239074', 'sliding_door', 0.016387803), ('n04201297', 'shoji', 0.012807241), ('n03131574', 'crib', 0.0052753794), ('n03529860', 'home_theater', 0.004339549)]"
1608,Inwood,1,1,56,23,93,High,Bad,"[('n03388549', 'four-poster', 0.97989386), ('n04550184', 'wardrobe', 0.008399649), ('n04344873', 'studio_couch', 0.004672345), ('n03788365', 'mosquito_net', 0.00333983), ('n04033995', 'quilt', 0.0009888124), ('n04590129', 'window_shade', 0.0009240446), ('n02808440', 'bathtub', 0.00050339237), ('n04239074', 'sliding_door', 0.00040137305), ('n04493381', 'tub', 0.00033226892), ('n03131574', 'crib', 0.00023933323)]"
1619,Lower East Side,1,1,130,16,93,High,Good,"[('n03388549', 'four-poster', 0.5039824), ('n04550184', 'wardrobe', 0.18199447), ('n04344873', 'studio_couch', 0.11540845), ('n03016953', 'chiffonier', 0.047500458), ('n03014705', 'chest', 0.018938122), ('n03018349', 'china_cabinet', 0.0147148), ('n04590129', 'window_shade', 0.0060168956), ('n04429376', 'throne', 0.0059555625), ('n04033995', 'quilt', 0.005820707), ('n04239074', 'sliding_door', 0.0058077043)]"
1628,Lower East Side,1,1,186,49,87,Low,Good,"[('n03388549', 'four-poster', 0.57957226), ('n04033995', 'quilt', 0.3873341), ('n04344873', 'studio_couch', 0.01359985), ('n04380533', 'table_lamp', 0.0042734975), ('n03529860', 'home_theater', 0.0027547628), ('n04590129', 'window_shade', 0.002406097), ('n04239074', 'sliding_door', 0.0016842195), ('n03201208', 'dining_table', 0.000996606), ('n02870880', 'bookcase', 0.00078846514), ('n03788365', 'mosquito_net', 0.00065423053)]"
1632,Hell's Kitchen,1,1,110,6,88,Low,Bad,"[('n04033995', 'quilt', 0.7893469), ('n04344873', 'studio_couch', 0.16875692), ('n03014705', 'chest', 0.008932076), ('n04493381', 'tub', 0.005561715), ('n03788365', 'mosquito_net', 0.0043003717), ('n03388549', 'four-poster', 0.0035122652), ('n04525038', 'velvet', 0.0033453694), ('n03131574', 'crib', 0.0026668634), ('n03125729', 'cradle', 0.0016941676), ('n04325704', 'stole', 0.0014656206)]"
1633,Hell's Kitchen,1,2,180,124,81,Low,Good,"[('n04033995', 'quilt', 0.9245801), ('n04344873', 'studio_couch', 0.057393674), ('n03388549', 'four-poster', 0.006645308), ('n04380533', 'table_lamp', 0.0055276575), ('n04590129', 'window_shade', 0.0018808111), ('n03637318', 'lampshade', 0.0013212792), ('n04550184', 'wardrobe', 0.0011688962), ('n04201297', 'shoji', 0.00060861063), ('n03788365', 'mosquito_net', 0.0002953249), ('n04239074', 'sliding_door', 0.00020016938)]"
1636,Hell's Kitchen,1,1,145,10,93,High,Good,"[('n04033995', 'quilt', 0.8092074), ('n03388549', 'four-poster', 0.14691241), ('n04344873', 'studio_couch', 0.014986279), ('n04239074', 'sliding_door', 0.008573277), ('n04590129', 'window_shade', 0.0062195854), ('n04201297', 'shoji', 0.0031543414), ('n02870880', 'bookcase', 0.0020688232), ('n03938244', 'pillow', 0.0013358793), ('n04070727', 'refrigerator', 0.0007684269), ('n04550184', 'wardrobe', 0.0006540115)]"
1652,Midtown,1,1,70,0,92.34,Low,Bad,"[('n03388549', 'four-poster', 0.59523857), ('n04239074', 'sliding_door', 0.15349984), ('n04590129', 'window_shade', 0.09880778), ('n04344873', 'studio_couch', 0.048408546), ('n03788365', 'mosquito_net', 0.032224353), ('n04033995', 'quilt', 0.029542571), ('n04589890', 'window_screen', 0.007244539), ('n04550184', 'wardrobe', 0.0057836776), ('n03529860', 'home_theater', 0.0056195906), ('n04201297', 'shoji', 0.003222993)]"
1665,Midtown,0,2,70,42,77,Low,Bad,"[('n03388549', 'four-poster', 0.6498841), ('n04344873', 'studio_couch', 0.2850191), ('n03788365', 'mosquito_net', 0.048895925), ('n04550184', 'wardrobe', 0.005490524), ('n04033995', 'quilt', 0.005356533), ('n04239074', 'sliding_door', 0.0026331388), ('n04201297', 'shoji', 0.0010061114), ('n04590129', 'window_shade', 0.00037044025), ('n04235860', 'sleeping_bag', 0.0001981922), ('n04493381', 'tub', 0.00015232776)]"
1666,Midtown,1,3,149,1,80,Low,Good,"[('n03388549', 'four-poster', 0.7800165), ('n04550184', 'wardrobe', 0.066673085), ('n04344873', 'studio_couch', 0.04566599), ('n04033995', 'quilt', 0.021214107), ('n03529860', 'home_theater', 0.018776117), ('n04239074', 'sliding_door', 0.016396994), ('n04590129', 'window_shade', 0.015299445), ('n04201297', 'shoji', 0.006155879), ('n03018349', 'china_cabinet', 0.0036165912), ('n03899768', 'patio', 0.003151404)]"
1671,Morningside Heights,1,1,70,100,96,High,Bad,"[('n03388549', 'four-poster', 0.9578746), ('n04344873', 'studio_couch', 0.016268391), ('n04550184', 'wardrobe', 0.01232106), ('n04033995', 'quilt', 0.0083385315), ('n03788365', 'mosquito_net', 0.00063472724), ('n03018349', 'china_cabinet', 0.00053991884), ('n03131574', 'crib', 0.0004238498), ('n03467068', 'guillotine', 0.000354335), ('n04201297', 'shoji', 0.0003188688), ('n03998194', 'prayer_rug', 0.00022869473)]"
1673,Morningside Heights,1,1,73,13,85,Low,Bad,"[('n03388549', 'four-poster', 0.61399794), ('n04033995', 'quilt', 0.26824147), ('n04344873', 'studio_couch', 0.0715066), ('n04550184', 'wardrobe', 0.006883294), ('n03788365', 'mosquito_net', 0.0067399247), ('n04239074', 'sliding_door', 0.005820077), ('n04590129', 'window_shade', 0.0051434743), ('n03534580', 'hoopskirt', 0.0023672336), ('n03131574', 'crib', 0.0019369966), ('n04493381', 'tub', 0.0017229007)]"
1680,Morningside Heights,1,1,82,0,92,Low,Bad,"[('n04033995', 'quilt', 0.847499), ('n04344873', 'studio_couch', 0.14477153), ('n03788365', 'mosquito_net', 0.0019149614), ('n04550184', 'wardrobe', 0.0017866449), ('n03388549', 'four-poster', 0.0017500474), ('n03938244', 'pillow', 0.00030464414), ('n04380533', 'table_lamp', 0.00029375957), ('n03179701', 'desk', 0.0002504642), ('n02870880', 'bookcase', 0.00022859743), ('n04404412', 'television', 8.792975e-05)]"
1685,Morningside Heights,1,1,100,5,90,Low,Bad,"[('n03388549', 'four-poster', 0.67864996), ('n04344873', 'studio_couch', 0.20239684), ('n04033995', 'quilt', 0.036578223), ('n03788365', 'mosquito_net', 0.028964331), ('n04550184', 'wardrobe', 0.025296098), ('n03131574', 'crib', 0.020553874), ('n04239074', 'sliding_door', 0.0014695419), ('n04201297', 'shoji', 0.0013502274), ('n04590129', 'window_shade', 0.0009906371), ('n03290653', 'entertainment_center', 0.0005781759)]"
1721,Stuyvesant Town,0,1,165,51,83,Low,Good,"[('n03388549', 'four-poster', 0.7389004), ('n04344873', 'studio_couch', 0.085927516), ('n04033995', 'quilt', 0.07930076), ('n03788365', 'mosquito_net', 0.06758339), ('n04550184', 'wardrobe', 0.0036767183), ('n03131574', 'crib', 0.0034843485), ('n04590129', 'window_shade', 0.0017606297), ('n03125729', 'cradle', 0.0014106599), ('n03201208', 'dining_table', 0.0013699955), ('n04239074', 'sliding_door', 0.0009770321)]"
1724,Theater District,1,1,75,0,92.32,Low,Bad,"[('n04033995', 'quilt', 0.81061965), ('n04344873', 'studio_couch', 0.14869086), ('n03388549', 'four-poster', 0.029147802), ('n04550184', 'wardrobe', 0.005687702), ('n03131574', 'crib', 0.0018537923), ('n03201208', 'dining_table', 0.00092001597), ('n03788365', 'mosquito_net', 0.0006654643), ('n03529860', 'home_theater', 0.0003657955), ('n03938244', 'pillow', 0.00030238327), ('n04525038', 'velvet', 0.0002877708)]"
1743,Upper East Side,2,2,250,6,100,High,Good,"[('n03388549', 'four-poster', 0.5381184), ('n04344873', 'studio_couch', 0.36646548), ('n04099969', 'rocking_chair', 0.017345048), ('n02870880', 'bookcase', 0.010480358), ('n04550184', 'wardrobe', 0.010062104), ('n04033995', 'quilt', 0.007074883), ('n03788365', 'mosquito_net', 0.004563812), ('n03131574', 'crib', 0.004445936), ('n03018349', 'china_cabinet', 0.0044315523), ('n04590129', 'window_shade', 0.004372327)]"
1749,Upper East Side,1,1,205,7,97,High,Good,"[('n03388549', 'four-poster', 0.50588506), ('n04239074', 'sliding_door', 0.33847305), ('n04344873', 'studio_couch', 0.07427839), ('n04590129', 'window_shade', 0.03431633), ('n04033995', 'quilt', 0.01113898), ('n03938244', 'pillow', 0.0059981677), ('n04550184', 'wardrobe', 0.0044639003), ('n03290653', 'entertainment_center', 0.0038476272), ('n04201297', 'shoji', 0.0027978686), ('n02870880', 'bookcase', 0.0024716642)]"
1755,Upper East Side,1,2,149,101,85,Low,Good,"[('n04033995', 'quilt', 0.76355517), ('n04344873', 'studio_couch', 0.1890806), ('n03388549', 'four-poster', 0.038132053), ('n03788365', 'mosquito_net', 0.0031641973), ('n04550184', 'wardrobe', 0.0019307703), ('n03131574', 'crib', 0.0009712885), ('n04239074', 'sliding_door', 0.0006054431), ('n04590129', 'window_shade', 0.00047476747), ('n03938244', 'pillow', 0.00024329453), ('n04265275', 'space_heater', 0.00016265982)]"
1769,Upper West Side,0,2,85,7,97,High,Bad,"[('n03388549', 'four-poster', 0.5013392), ('n04344873', 'studio_couch', 0.20665102), ('n03788365', 'mosquito_net', 0.11231393), ('n02870880', 'bookcase', 0.049920104), ('n03661043', 'library', 0.023546342), ('n04005630', 'prison', 0.02083734), ('n04239074', 'sliding_door', 0.016447231), ('n04590129', 'window_shade', 0.012480658), ('n04033995', 'quilt', 0.00808634), ('n03131574', 'crib', 0.0052422825)]"
1786,Upper West Side,1,1,159,187,87,Low,Good,"[('n03388549', 'four-poster', 0.5002038), ('n04344873', 'studio_couch', 0.24903764), ('n04033995', 'quilt', 0.1988188), ('n03938244', 'pillow', 0.016847428), ('n04590129', 'window_shade', 0.01000014), ('n04550184', 'wardrobe', 0.00322341), ('n04239074', 'sliding_door', 0.0030821038), ('n02870880', 'bookcase', 0.001979806), ('n03290653', 'entertainment_center', 0.00183749), ('n02111500', 'Great_Pyrenees', 0.0015510862)]"
1795,Upper West Side,1,1,100,10,93,High,Bad,"[('n03388549', 'four-poster', 0.97485095), ('n04344873', 'studio_couch', 0.00817718), ('n04033995', 'quilt', 0.0039207945), ('n04239074', 'sliding_door', 0.0025638954), ('n04590129', 'window_shade', 0.0014327242), ('n03788365', 'mosquito_net', 0.0011787987), ('n04201297', 'shoji', 0.0011755566), ('n03179701', 'desk', 0.0008700666), ('n04550184', 'wardrobe', 0.0007165626), ('n03347037', 'fire_screen', 0.0006695494)]"
1800,Upper West Side,1,1,50,0,92.34,Low,Bad,"[('n03388549', 'four-poster', 0.7162297), ('n04033995', 'quilt', 0.1501465), ('n04344873', 'studio_couch', 0.04812371), ('n03788365', 'mosquito_net', 0.0443421), ('n04040759', 'radiator', 0.009078399), ('n04550184', 'wardrobe', 0.0062189433), ('n03534580', 'hoopskirt', 0.004459415), ('n03450230', 'gown', 0.003392945), ('n04590129', 'window_shade', 0.0030818493), ('n03938244', 'pillow', 0.0026370988)]"
1812,Upper East Side,1,1,175,1,100,High,Good,"[('n03388549', 'four-poster', 0.6565244), ('n04033995', 'quilt', 0.2897361), ('n04344873', 'studio_couch', 0.01641354), ('n04239074', 'sliding_door', 0.010532191), ('n04550184', 'wardrobe', 0.009019062), ('n04201297', 'shoji', 0.005971062), ('n04590129', 'window_shade', 0.0036481959), ('n03529860', 'home_theater', 0.003433542), ('n03938244', 'pillow', 0.0014333446), ('n02870880', 'bookcase', 0.000779339)]"
1820,Upper East Side,2,5,400,0,92.3,Low,Good,"[('n03388549', 'four-poster', 0.63632435), ('n04344873', 'studio_couch', 0.2497792), ('n04550184', 'wardrobe', 0.06608361), ('n03788365', 'mosquito_net', 0.03851606), ('n04033995', 'quilt', 0.0030193063), ('n04239074', 'sliding_door', 0.0017245408), ('n03016953', 'chiffonier', 0.001031097), ('n04201297', 'shoji', 0.00079890207), ('n03131574', 'crib', 0.00058227545), ('n04590129', 'window_shade', 0.0005340728)]"
1855,Upper West Side,2,2,107,1,80,Low,Bad,"[('n03388549', 'four-poster', 0.9996538), ('n04033995', 'quilt', 0.00025547118), ('n03788365', 'mosquito_net', 4.442494e-05), ('n04344873', 'studio_couch', 4.139983e-05), ('n04550184', 'wardrobe', 1.7861042e-06), ('n04380533', 'table_lamp', 7.9741454e-07), ('n04590129', 'window_shade', 2.4999088e-07), ('n03529860', 'home_theater', 2.407725e-07), ('n04429376', 'throne', 2.1333601e-07), ('n03131574', 'crib', 1.805347e-07)]"
1856,Upper West Side,1,1,95,14,99,High,Bad,"[('n03388549', 'four-poster', 0.7467429), ('n04344873', 'studio_couch', 0.1943803), ('n04239074', 'sliding_door', 0.016861316), ('n04033995', 'quilt', 0.013029414), ('n03788365', 'mosquito_net', 0.010728565), ('n04590129', 'window_shade', 0.003830173), ('n04550184', 'wardrobe', 0.00329394), ('n04201297', 'shoji', 0.0013921628), ('n03529860', 'home_theater', 0.0013345084), ('n03290653', 'entertainment_center', 0.00077323645)]"
1866,East Village,1,1,74,10,91,Low,Bad,"[('n03388549', 'four-poster', 0.7016236), ('n04550184', 'wardrobe', 0.13519514), ('n04344873', 'studio_couch', 0.06775204), ('n02870880', 'bookcase', 0.030512357), ('n03788365', 'mosquito_net', 0.0108075), ('n03661043', 'library', 0.006904028), ('n04590129', 'window_shade', 0.005000286), ('n04239074', 'sliding_door', 0.004947416), ('n03998194', 'prayer_rug', 0.0028839754), ('n04517823', 'vacuum', 0.0023811378)]"
1869,East Village,0,2,170,5,100,High,Good,"[('n03388549', 'four-poster', 0.7970608), ('n04344873', 'studio_couch', 0.04978476), ('n04550184', 'wardrobe', 0.022970755), ('n04005630', 'prison', 0.012789273), ('n04590129', 'window_shade', 0.012010355), ('n04239074', 'sliding_door', 0.011127525), ('n03788365', 'mosquito_net', 0.011114035), ('n04033995', 'quilt', 0.008796262), ('n03529860', 'home_theater', 0.008061725), ('n04493381', 'tub', 0.007959866)]"
1875,East Village,1,1,150,1,60,Low,Good,"[('n03388549', 'four-poster', 0.64504266), ('n04344873', 'studio_couch', 0.2741196), ('n04550184', 'wardrobe', 0.026690187), ('n03788365', 'mosquito_net', 0.0100339465), ('n03179701', 'desk', 0.0084899375), ('n04033995', 'quilt', 0.0076538273), ('n04380533', 'table_lamp', 0.005774377), ('n04239074', 'sliding_door', 0.005215929), ('n04201297', 'shoji', 0.0030152868), ('n04590129', 'window_shade', 0.002599885)]"
1876,East Village,3,3,249,77,85,Low,Good,"[('n03388549', 'four-poster', 0.56850183), ('n03788365', 'mosquito_net', 0.23333871), ('n04344873', 'studio_couch', 0.0792222), ('n04033995', 'quilt', 0.041633375), ('n04239074', 'sliding_door', 0.012829016), ('n04590129', 'window_shade', 0.009453697), ('n04550184', 'wardrobe', 0.009247174), ('n03131574', 'crib', 0.005490705), ('n03467068', 'guillotine', 0.00455284), ('n03125729', 'cradle', 0.004305645)]"
1888,East Village,1,2,89,60,91,Low,Bad,"[('n03388549', 'four-poster', 0.9690486), ('n04344873', 'studio_couch', 0.021214567), ('n03788365', 'mosquito_net', 0.007886616), ('n04033995', 'quilt', 0.001577633), ('n03445924', 'golfcart', 0.0002550776), ('n04550184', 'wardrobe', 8.704327e-06), ('n03131574', 'crib', 3.3756346e-06), ('n04371774', 'swing', 1.5319032e-06), ('n04590129', 'window_shade', 7.6208005e-07), ('n03792972', 'mountain_tent', 5.120503e-07)]"
1895,East Village,3,1,95,0,92.56,Low,Bad,"[('n03388549', 'four-poster', 0.551651), ('n04344873', 'studio_couch', 0.16402319), ('n03788365', 'mosquito_net', 0.10236156), ('n04033995', 'quilt', 0.101314515), ('n04235860', 'sleeping_bag', 0.017422859), ('n04336792', 'stretcher', 0.005376231), ('n04239074', 'sliding_door', 0.0049279793), ('n03998194', 'prayer_rug', 0.004732911), ('n04040759', 'radiator', 0.0043534436), ('n03899768', 'patio', 0.0038972334)]"
1923,Gramercy,1,1,80,4,87,Low,Bad,"[('n04033995', 'quilt', 0.96423143), ('n04344873', 'studio_couch', 0.015887909), ('n03388549', 'four-poster', 0.010785849), ('n03529860', 'home_theater', 0.0021032759), ('n03938244', 'pillow', 0.0014400098), ('n04590129', 'window_shade', 0.0007697004), ('n03290653', 'entertainment_center', 0.00064041826), ('n04239074', 'sliding_door', 0.0006290961), ('n04550184', 'wardrobe', 0.00042580452), ('n04380533', 'table_lamp', 0.00037446222)]"
1938,Chelsea,1,1,125,1,100,High,Good,"[('n03388549', 'four-poster', 0.678649), ('n04344873', 'studio_couch', 0.28313565), ('n04033995', 'quilt', 0.011074886), ('n04201297', 'shoji', 0.005573711), ('n04590129', 'window_shade', 0.005339533), ('n03788365', 'mosquito_net', 0.0046742116), ('n04239074', 'sliding_door', 0.0033917746), ('n04550184', 'wardrobe', 0.0027775278), ('n04380533', 'table_lamp', 0.0011111166), ('n02808440', 'bathtub', 0.00043738316)]"
1940,Chelsea,1,1,100,10,92,Low,Bad,"[('n03388549', 'four-poster', 0.67288953), ('n04344873', 'studio_couch', 0.04942655), ('n04239074', 'sliding_door', 0.046593938), ('n03290653', 'entertainment_center', 0.04643898), ('n02870880', 'bookcase', 0.030274786), ('n04033995', 'quilt', 0.028894795), ('n03018349', 'china_cabinet', 0.02202145), ('n04550184', 'wardrobe', 0.019913284), ('n04590129', 'window_shade', 0.012145335), ('n03016953', 'chiffonier', 0.010398992)]"
1943,Chelsea,1,1,95,2,100,High,Bad,"[('n03388549', 'four-poster', 0.664912), ('n04033995', 'quilt', 0.17663485), ('n04344873', 'studio_couch', 0.1270724), ('n04239074', 'sliding_door', 0.008091727), ('n04590129', 'window_shade', 0.007183607), ('n03788365', 'mosquito_net', 0.0060803206), ('n03938244', 'pillow', 0.0020977925), ('n04550184', 'wardrobe', 0.00159374), ('n04380533', 'table_lamp', 0.00071320997), ('n03131574', 'crib', 0.00051986735)]"
1953,Flatiron District,1,3,206,11,80,Low,Good,"[('n03388549', 'four-poster', 0.8216779), ('n04344873', 'studio_couch', 0.029788462), ('n03788365', 'mosquito_net', 0.021462455), ('n03534580', 'hoopskirt', 0.02075425), ('n03131574', 'crib', 0.019381983), ('n04081281', 'restaurant', 0.009396581), ('n03982430', 'pool_table', 0.0074751787), ('n02791124', 'barber_chair', 0.0068357736), ('n03125729', 'cradle', 0.0064695366), ('n10148035', 'groom', 0.00558453)]"
1955,Flatiron District,3,4,495,27,92,Low,Good,"[('n03388549', 'four-poster', 0.5118159), ('n04033995', 'quilt', 0.14430153), ('n04344873', 'studio_couch', 0.10710201), ('n04380533', 'table_lamp', 0.03627953), ('n03637318', 'lampshade', 0.021581806), ('n03788365', 'mosquito_net', 0.018695006), ('n03938244', 'pillow', 0.012506057), ('n04286575', 'spotlight', 0.005870531), ('n03887697', 'paper_towel', 0.005459583), ('n04550184', 'wardrobe', 0.0048690927)]"
1956,Flatiron District,0,1,135,11,96,High,Good,"[('n03388549', 'four-poster', 0.75174403), ('n03018349', 'china_cabinet', 0.08423611), ('n04344873', 'studio_couch', 0.071802855), ('n03201208', 'dining_table', 0.025852157), ('n04239074', 'sliding_door', 0.02278401), ('n04590129', 'window_shade', 0.0084574865), ('n03788365', 'mosquito_net', 0.0043389676), ('n03742115', 'medicine_chest', 0.0036954754), ('n02870880', 'bookcase', 0.0030206384), ('n04201297', 'shoji', 0.0028243063)]"
1961,East Village,1,2,185,54,91,Low,Good,"[('n03388549', 'four-poster', 0.5280344), ('n04344873', 'studio_couch', 0.34566286), ('n04033995', 'quilt', 0.050661936), ('n04380533', 'table_lamp', 0.02450349), ('n03637318', 'lampshade', 0.015191538), ('n04590129', 'window_shade', 0.01514031), ('n03529860', 'home_theater', 0.0032537861), ('n03788365', 'mosquito_net', 0.0022261934), ('n03131574', 'crib', 0.0020570534), ('n03201208', 'dining_table', 0.00204016)]"
1967,East Village,2,2,250,19,93,High,Good,"[('n03388549', 'four-poster', 0.762545), ('n04033995', 'quilt', 0.17124936), ('n04344873', 'studio_couch', 0.03228041), ('n04590129', 'window_shade', 0.014670612), ('n04239074', 'sliding_door', 0.0027944266), ('n04201297', 'shoji', 0.002756053), ('n02870880', 'bookcase', 0.0014952368), ('n03788365', 'mosquito_net', 0.0014608519), ('n03899768', 'patio', 0.0013899694), ('n04550184', 'wardrobe', 0.0013882102)]"
1978,East Village,1,1,70,4,95,High,Bad,"[('n03388549', 'four-poster', 0.50305766), ('n04550184', 'wardrobe', 0.27372822), ('n04239074', 'sliding_door', 0.101603724), ('n04201297', 'shoji', 0.022703482), ('n03529860', 'home_theater', 0.016066695), ('n03290653', 'entertainment_center', 0.013643014), ('n02870880', 'bookcase', 0.013333471), ('n04344873', 'studio_couch', 0.010729255), ('n03742115', 'medicine_chest', 0.010078548), ('n03788365', 'mosquito_net', 0.009247017)]"
1999,East Village,0,1,189,0,92.56,Low,Good,"[('n04033995', 'quilt', 0.9802675), ('n04344873', 'studio_couch', 0.007708427), ('n03388549', 'four-poster', 0.0034284217), ('n03788365', 'mosquito_net', 0.0022085558), ('n04239074', 'sliding_door', 0.0018287827), ('n03938244', 'pillow', 0.0016687455), ('n04550184', 'wardrobe', 0.0007043515), ('n04201297', 'shoji', 0.0005753247), ('n04590129', 'window_shade', 0.00027006312), ('n03131574', 'crib', 0.00025695635)]"
2019,Harlem,1,1,90,0,92.28,Low,Bad,"[('n03388549', 'four-poster', 0.84100384), ('n04033995', 'quilt', 0.10966723), ('n04550184', 'wardrobe', 0.022105176), ('n04344873', 'studio_couch', 0.018470095), ('n04239074', 'sliding_door', 0.0056861546), ('n03788365', 'mosquito_net', 0.001014947), ('n04590129', 'window_shade', 0.0005512458), ('n04201297', 'shoji', 0.00040177949), ('n03131574', 'crib', 0.00018514006), ('n02870880', 'bookcase', 0.00011618741)]"
2021,Harlem,1,1,85,24,97,High,Bad,"[('n03388549', 'four-poster', 0.9023323), ('n04344873', 'studio_couch', 0.053455427), ('n04033995', 'quilt', 0.02997837), ('n03788365', 'mosquito_net', 0.004420992), ('n04590129', 'window_shade', 0.0029613927), ('n04550184', 'wardrobe', 0.002769165), ('n04239074', 'sliding_door', 0.0005592888), ('n03016953', 'chiffonier', 0.00045540853), ('n03131574', 'crib', 0.00027752868), ('n04380533', 'table_lamp', 0.00023107615)]"
2025,Harlem,1,1,45,48,91,Low,Bad,"[('n04033995', 'quilt', 0.7972174), ('n04344873', 'studio_couch', 0.12660524), ('n03388549', 'four-poster', 0.045180302), ('n03938244', 'pillow', 0.016739), ('n04550184', 'wardrobe', 0.0035676826), ('n03131574', 'crib', 0.0031233178), ('n03788365', 'mosquito_net', 0.0013993569), ('n04380533', 'table_lamp', 0.0012521105), ('n04239074', 'sliding_door', 0.00089253247), ('n02870880', 'bookcase', 0.00041450092)]"
2033,Harlem,1,1,88,45,94,High,Bad,"[('n03388549', 'four-poster', 0.69596213), ('n04344873', 'studio_couch', 0.12468968), ('n03788365', 'mosquito_net', 0.061326113), ('n04590129', 'window_shade', 0.019188313), ('n03201208', 'dining_table', 0.011178277), ('n04239074', 'sliding_door', 0.010855985), ('n02699494', 'altar', 0.010038335), ('n04081281', 'restaurant', 0.007347005), ('n04550184', 'wardrobe', 0.0042052716), ('n04033995', 'quilt', 0.0035256527)]"
2045,Harlem,1,1,60,1,80,Low,Bad,"[('n03388549', 'four-poster', 0.5801623), ('n04033995', 'quilt', 0.15141916), ('n04344873', 'studio_couch', 0.13085853), ('n03788365', 'mosquito_net', 0.040056705), ('n04590129', 'window_shade', 0.020611484), ('n04380533', 'table_lamp', 0.011185651), ('n03529860', 'home_theater', 0.011080149), ('n04201297', 'shoji', 0.009872356), ('n04239074', 'sliding_door', 0.00960931), ('n04517823', 'vacuum', 0.0048433887)]"
2055,Harlem,2,2,250,4,95,High,Good,"[('n03388549', 'four-poster', 0.932406), ('n03018349', 'china_cabinet', 0.020802537), ('n04344873', 'studio_couch', 0.018862514), ('n04590129', 'window_shade', 0.008090182), ('n04033995', 'quilt', 0.0070667737), ('n02870880', 'bookcase', 0.0032457735), ('n04550184', 'wardrobe', 0.0011245713), ('n03131574', 'crib', 0.0011036239), ('n03016953', 'chiffonier', 0.00089875655), ('n04239074', 'sliding_door', 0.00087352056)]"
